NMec = 98491
T = 25
P = 4
Profits not ignored
Solution time = 2.860e-02
Best Profit = 32999
Terminal Cases = 2970596
Task date  Profit    P
  0   5     1592     0   
  1   14    1371     1   
  4   16    1698     2   
  9   52    5089     0   
  11  20    2172     3   
  12  24    1604     -1  
  14  55    9524     -1  
  19  34    1454     1   
  20  25    1269     2   
  20  39    3538     -1  
  20  43    3678     -1  
  21  32    1018     3   
  23  32    2322     -1  
  25  34    1082     -1  
  25  44    1442     -1  
  29  40    1675     2   
  30  42    1179     -1  
  30  44    2965     -1  
  36  53    2078     1   
  36  59    1538     3   
  40  43    591      -1  
  40  51    1666     -1  
  44  58    2418     2   
  47  54    967      -1  
  52  60    906      -1  
End
