NMec = 98491
T = 34
P = 7
Profits ignored
Solution time = 3.814e+01
Programing Tasks = 22
Terminal Cases = 422
Task date  Profit    P
  0   14    1        0   
  0   48    1        -1  
  2   17    1        -1  
  4   9     1        1   
  5   26    1        -1  
  7   14    1        2   
  8   17    1        3   
  8   26    1        4   
  9   16    1        5   
  9   28    1        -1  
  10  29    1        1   
  14  20    1        6   
  15  28    1        0   
  16  30    1        2   
  16  38    1        -1  
  16  39    1        -1  
  18  19    1        3   
  18  33    1        5   
  19  41    1        -1  
  24  45    1        -1  
  25  38    1        3   
  26  30    1        6   
  26  41    1        -1  
  27  31    1        4   
  27  48    1        -1  
  29  45    1        -1  
  29  48    1        -1  
  30  40    1        0   
  31  40    1        1   
  31  46    1        2   
  32  42    1        4   
  33  45    1        6   
  34  42    1        5   
  39  46    1        3   
End
