NMec = 98629
T = 29
P = 1
Profits ignored
Solution time = 7.711e-03
Programing Tasks = 14
Terminal Cases = 60
Task date  Profit    P
  10  32    1        -1  
  23  32    1        -1  
  31  47    1        0   
  48  50    1        0   
  83  104   1        -1  
  96  102   1        0   
  103 108   1        0   
  108 121   1        -1  
  108 122   1        -1  
  109 115   1        0   
  122 132   1        0   
  149 161   1        -1  
  156 162   1        0   
  158 175   1        -1  
  164 189   1        -1  
  171 178   1        0   
  178 184   1        -1  
  184 195   1        0   
  196 209   1        0   
  215 219   1        -1  
  218 234   1        0   
  234 239   1        -1  
  236 250   1        0   
  247 258   1        -1  
  249 263   1        -1  
  258 267   1        0   
  258 281   1        -1  
  273 283   1        -1  
  275 280   1        0   
End
